,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
Beach 60 St (A),0.6155623490483355,0.6156066982715185,0.44353813126746766,0.7645151934807044,0.705354001729463,0.6845940017271182
Beach 67 St-Arverne By The Sea (A),0.5136277143023908,0.5134502048881209,0.3881198870244069,0.6811476238759857,0.6179341145059494,0.5970234406599748
"Beach 90 St (A,S)",0.2574488245821517,0.2577394879338918,0.125215476090204,0.4532236952806409,0.32171644122410004,0.41439127877893944
"Beach 98 St (A,S)",0.2956280089224347,0.29553186588954095,0.06521122842633198,0.4859149739240648,0.3745396187994897,0.4114497559694793
Bedford Av (L),0.5599247392756792,0.5599747068122618,0.5564358710564172,0.7159441649808708,0.6302077077396516,0.6090770419076298
"Bedford Park Blvd (B,D)",0.6234385168918927,0.6234594728101224,0.5984932562136294,0.7698305550232125,0.6942487967452577,0.7127416410991376
Bedford Park Blvd-Lehman College (4),0.5989586918581983,0.5989446896611806,0.5491317277922358,0.695191517491093,0.6070526458815566,0.6171324229726056
Bedford-Nostrand Avs (G),0.6173830129615712,0.6171557599530519,0.5939870745615233,0.7873180782207774,0.7291687712885315,0.6944398116322252
"Bergen St (2,3)",0.5222886260639427,0.522312190342642,0.46959785438884105,0.681974786863812,0.6017957551109023,0.612742967010815
"Bergen St (F,G)",0.6259118486259866,0.6261208807430082,0.6120428751410657,0.7457031932983865,0.6492081577157539,0.6654765586080549
Beverley Rd (Q),0.5457123348636348,0.5457239849399135,0.4824318686123177,0.690022866502741,0.6259731211401077,0.6123625151400797
"Beverly Rd (2,5)",0.6386357485924068,0.638337432291121,0.5964730282939689,0.798672203563493,0.7472306314558789,0.7365904036671991
"Bowery (J,Z)",0.6347317386731305,0.6347208151886491,0.5747544609262198,0.6944240784932874,0.61206038579253,0.6271516976674425
"Bowling Green (4,5)",0.690770678349526,0.6906163762243711,0.6865971323721841,0.8203554275325091,0.7567404790706691,0.751327200262823
"Briarwood-Van Wyck Blvd (E,F)",0.6555788685940573,0.6552696112065597,0.616196957313492,0.7982925384572344,0.7202818084273275,0.7328881211381721
"Brighton Beach (B,Q)",0.6366741758967666,0.6365621928815153,0.6208263613547009,0.7526865242761738,0.6764603214325551,0.6562760905260223
"Broad Channel (A,S)",0.5239481816297508,0.524035512509821,0.043723664343639945,0.6980668710726265,0.6237188974888608,0.6524059716368307
"Broad St (J,Z)",0.6733798982133954,0.6733695352845572,0.6610068821554952,0.8139879003285261,0.7563300115428592,0.7750700117507036
Broadway (G),0.607775625457116,0.6077370925468268,0.5466466225274114,0.7289553326640846,0.6354914650697059,0.6331529725718649
"Broadway (N,W)",0.5961650967431291,0.5963153091600017,0.5860108236581147,0.776155058275686,0.7009191550117146,0.7000823765931294
"Broadway Junction (A,C,J,L,Z)",0.6049897793220447,0.6051849806675169,0.5752941552552648,0.6984277403774513,0.6268864145363008,0.6293217894382237
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",0.7209131344979813,0.7211058442744969,0.7197316260813679,0.7740991102028508,0.6989252023185559,0.7259437552828863
"Bronx Park East (2,5)",0.660092671773209,0.6599225334347305,0.5511139653048399,0.8117489153152753,0.7572690528617727,0.7455698949517405
Brook Av (6),0.6722758982223657,0.671953506988078,0.6090758246735642,0.776399859678127,0.7110520151558426,0.68958537741917
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",0.6917997222484826,0.6919115223088419,0.6897855591532065,0.8067055226113937,0.7312358662832413,0.7508789153244058
Buhre Av (6),0.671638747041363,0.6715390231876583,0.6351284762674749,0.8451502676018715,0.7674952831164914,0.8028910212094509
"Burke Av (2,5)",0.6437742764401015,0.6438679209137166,0.5672426266226935,0.7994339922733333,0.7409058480284829,0.7456284772079054
Burnside Av (4),0.7012803296687862,0.7013487367887126,0.6751246553613977,0.7823849988915178,0.7153905407028895,0.7063652206952697
Bushwick Av-Aberdeen St (L),0.6215131611166448,0.6212521618592843,0.4715919882527053,0.758342917714589,0.6937420116612767,0.6504716020450569
Canal St (1),0.6772087739710027,0.6770490417487971,0.651809609381896,0.7952680848842965,0.7376621392566771,0.7357869228727844
"Canal St (A,C,E)",0.6572865730349242,0.6571002433791944,0.6527586863922736,0.7912220400727547,0.7454124767698529,0.725726394798579
"Canal St (J,N,Q,R,W,Z,6)",0.7384777640814302,0.7387150982326594,0.7382978636513269,0.7800803540522763,0.7093220094442831,0.7420260683958562
Canarsie-Rockaway Pkwy (L),0.6389930293829134,0.6387861226407803,0.5705645371090446,0.7887720053448015,0.7431620183367471,0.722691026452567
"Carroll St (F,G)",0.5961828362984871,0.596094057606144,0.5852100793005387,0.7707507691484476,0.6891218511480712,0.6836347578315296
Castle Hill Av (6),0.6681453133965416,0.6681821107944657,0.638578848340686,0.8138470123814292,0.7719684228256971,0.7727690621909349
Cathedral Pkwy-110 St (1),0.673267117874501,0.6730540648356633,0.6556974601486086,0.762973266973073,0.6918110087857621,0.6698257136512168
"Cathedral Pkwy-110 St (B,C)",0.6361902841479339,0.6360326981516341,0.6109871870224413,0.7662393715066185,0.6995674384762437,0.6693848573715911
Central Av (M),0.6129649038911005,0.6131584235840102,0.5576036295099545,0.8122586463803719,0.7544853502110548,0.7274980759030161
